titulo,modalidade,numero,ano,situacao,link_pdf
Seleção de Bolsista -  Projeto Elaboração de Material Didático Transmídia para o ensino de Imunologia (referente ao Edital de Apoio à produção de material em formato digital para atividades de Ensino Nº 29/2023),Ensino,29,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/selecao-de-bolsista-projeto-elaboracao-de-material-didatico-transmidia-para-o-ensino-de-imunologia-referente-ao-edital-de-apoio-a-producao-de-material-em-formato-digital-para-atividades-de-ensino-no-29-2023/edital_de_selecao_de_bolsista_para_participacao_no_projeto_producao_de_material_digital_de_imunologia_assinado.pdf/view
Seleção de Alunos para atuação no âmbito do Projeto Seroepe (referente ao Edital 30/2023),"Pesquisa, Inovação e Pós-graduação",30,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/seroepe/selecao-de-alunos-para-atuacao-no-ambito-do-projeto-seroepe-referente-ao-edital-30-2023/edital_selecao-aluno-bolsista-docx.pdf/view
Edital 40/2023: Submissão de trabalhos científicos ao XII Simpósio de Pesquisa e Inovação,"Pesquisa, Inovação e Pós-graduação",40,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-40-2023-submissao-de-trabalhos-cientificos-ao-xii-simposio-de-pesquisa-e-inovacao/edital-versao-final-simposio-2023-docx.pdf/view
EDITAL Nº 39/2023: Edital de Processo de escolha dos Coordenadores e Vice-coordenadores do Curso de Graduação Bacharelado em Agronomia,Eleição,39,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-39-2023-edital-de-processo-de-escolha-dos-coordenadores-e-vice-coordenadores-do-curso-de-graduacao-bacharelado-em-agronomia/edital-39-eleicao-para-coordenadores-agro.pdf/view
Referente ao edital 37/2022 - Seleção de Bolsista para o projeto “Desenvolvimento de um aplicativo para guia de visitação e informações da Reserva Cultural e Ambiental da Sericícola de Barbacena utilizando equipamento de TV Box”,"Pesquisa, Inovação e Pós-graduação",37,2.022,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/referente-ao-edital-37-2022-selecao-de-bolsista-para-o-projeto-201cdesenvolvimento-de-um-aplicativo-para-guia-de-visitacao-e-informacoes-da-reserva-cultural-e-ambiental-da-sericicola-de-barbacena-utilizando-equipamento-de-tv-box201d/edital_selecao_bolsista-meio_ambiente_assinado.pdf/view
EDITAL Nº 35/2023:  Edital para eleição de docentes - titulares e suplentes - para compor os colegiados dos cursos de graduação do Instituo Federal de Educação. ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena,Ensino,35,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-35-2023-edital-para-eleicao-de-docentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-de-graduacao-do-instituo-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena/edital-35-membros-docente-do-colegiado-tur.pdf/view
Edital N° 34/2023: Edital de monitores voluntários para apoio do refeitório,Ensino,34,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-ndeg-34-2023-edital-de-monitores-voluntarios-para-apoio-do-refeitorio/2023-edital-de-monitoria-voluntaria-refeitorio-2-2.pdf/view
Edital nº 33/2023 – Apoio à participação de servidor em evento técnico-científico para apresentação de trabalho,"Pesquisa, Inovação e Pós-graduação",33,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-33-2023-2013-apoio-a-participacao-de-servidor-em-evento-tecnico-cientifico-para-apresentacao-de-trabalho/edital-de-apoio-servidores-2023.pdf/view
Edital nº 32/2023 – Apoio à participação discente em evento técnico-científico para apresentação de trabalho,"Pesquisa, Inovação e Pós-graduação",32,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-32-2023-2013-apoio-a-participacao-discente-em-evento-tecnico-cientifico-para-apresentacao-de-trabalho/edital-de-apoio-discente-participacao-evento-2023.pdf/view
"Seleção de bolsistas de ensino referente ao Edital 12/2023 -  ""Projetos de Ensino com foco nas ações inclusivas 2023  Inclusão em destaque: buscando o protagonismo de estudantes com necessidades específicas através das Artes, linguagens e afins.""",Ensino,12,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/selecao-de-bolsistas-de-ensino-referente-ao-edital-12-2023-projetos-de-ensino-com-foco-nas-acoes-inclusivas-2023-inclusao-em-destaque-buscando-o-protagonismo-de-estudantes-com-necessidades-especificas-atraves-das-artes-linguagens-e-afins/edital-_projetos_de_ensino_acoes_inclusivas_12_23-1.pdf/view
Edital Nº 31/2023: Edital para escolha do (a) coordenador (a) e vice-coordenador (a) do Curso Técnico em hospedagem Integrado ao Ensino Médio do IF Sudeste MG - Campus Barbacena,Eleição,31,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-31-2023-edital-para-escolha-do-a-coordenador-a-e-vice-coordenador-a-do-curso-tecnico-em-hospedagem-integrado-ao-ensino-medio-do-if-sudeste-mg-campus-barbacena/edital-eleicao-coordenador-hospedagem-docx.pdf/view
Edital nº 30/2023 – Apoio aos Grupos de Trabalho no âmbito do projeto articulador SEROEPE (modalidades bolsa Coordenador e bolsa estudante),"Pesquisa, Inovação e Pós-graduação",30,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-30-2023-2013-apoio-aos-grupos-de-trabalho-no-ambito-do-projeto-articulador-seroepe-modalidades-bolsa-coordenador-e-bolsa-estudante/edital-apoio-aos-grupos-seroepe_2023.pdf/view
Edital Nº 29/2023: Edital de Apoio à produção de material em formato digital para atividades de Ensino,"Pesquisa, Inovação e Pós-graduação",29,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-29-2023-edital-de-apoio-a-producao-de-material-em-formato-digital-para-atividades-de-ensino/edital-material-didatico_2023.pdf/view
Seleção de bolsistas de projeto de ensino com foco nas ações inclusivas - Cuidar para ensinar: garantia de cuidados básicos para alunos recebidos em vagas destinadas às ações afirmativas -  EDITAL 29/2022,Ensino,29,2.022,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/selecao-de-bolsistas-de-projeto-de-ensino-com-foco-nas-acoes-inclusivas-cuidar-para-ensinar-garantia-de-cuidados-basicos-para-alunos-recebidos-em-vagas-destinadas-as-acoes-afirmativas-edital-29-2022/divulgacao-selecao-de-bolsista_projeto-de-acoes-inclusivas.pdf/view
Edital nº 26 - Chamada Pública de seleção de desafios para o evento “Café com Empresas”,"Pesquisa, Inovação e Pós-graduação",26,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-26-chamada-publica-de-selecao-de-desafios-para-o-evento-201ccafe-com-empresas201d/edital-chamada-empresas_2023_final.pdf/view
Edital nº 24/2023: Edital de Seleção para Preenchimento de Vagas Remanescentes nos Cursos de Graduação 2º SEMESTRE DE 2023,Ensino,24,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-24-2023-edital-de-selecao-para-preenchimento-de-vagas-remanescentes-nos-cursos-de-graduacao-2o-semestre-de-2023/edital-24-vagas-remanescentes-2-2023.pdf/view
EDITAL Nº 25: Seleção de bolsistas de monitoria,Ensino,25,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-25-selecao-de-bolsistas-de-monitoria/edital-2023-bolsistas-de-monitoria.pdf/view
Edital 40/2023: Submissão de trabalhos científicos ao XII Simpósio de Pesquisa e Inovação,"Pesquisa, Inovação e Pós-graduação",40,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-40-2023-submissao-de-trabalhos-cientificos-ao-xii-simposio-de-pesquisa-e-inovacao/edital-versao-final-simposio-2023-docx.pdf/view
EDITAL Nº 39/2023: Edital de Processo de escolha dos Coordenadores e Vice-coordenadores do Curso de Graduação Bacharelado em Agronomia,Eleição,39,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-39-2023-edital-de-processo-de-escolha-dos-coordenadores-e-vice-coordenadores-do-curso-de-graduacao-bacharelado-em-agronomia/edital-39-eleicao-para-coordenadores-agro.pdf/view
Referente ao edital 37/2022 - Seleção de Bolsista para o projeto “Desenvolvimento de um aplicativo para guia de visitação e informações da Reserva Cultural e Ambiental da Sericícola de Barbacena utilizando equipamento de TV Box”,"Pesquisa, Inovação e Pós-graduação",37,2.022,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/referente-ao-edital-37-2022-selecao-de-bolsista-para-o-projeto-201cdesenvolvimento-de-um-aplicativo-para-guia-de-visitacao-e-informacoes-da-reserva-cultural-e-ambiental-da-sericicola-de-barbacena-utilizando-equipamento-de-tv-box201d/edital_selecao_bolsista-meio_ambiente_assinado.pdf/view
EDITAL Nº 35/2023:  Edital para eleição de docentes - titulares e suplentes - para compor os colegiados dos cursos de graduação do Instituo Federal de Educação. ciência e Tecnologia do Sudeste de Minas Gerais - Campus Barbacena,Ensino,35,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-35-2023-edital-para-eleicao-de-docentes-titulares-e-suplentes-para-compor-os-colegiados-dos-cursos-de-graduacao-do-instituo-federal-de-educacao-ciencia-e-tecnologia-do-sudeste-de-minas-gerais-campus-barbacena/edital-35-membros-docente-do-colegiado-tur.pdf/view
Edital N° 34/2023: Edital de monitores voluntários para apoio do refeitório,Ensino,34,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-ndeg-34-2023-edital-de-monitores-voluntarios-para-apoio-do-refeitorio/2023-edital-de-monitoria-voluntaria-refeitorio-2-2.pdf/view
Edital nº 33/2023 – Apoio à participação de servidor em evento técnico-científico para apresentação de trabalho,"Pesquisa, Inovação e Pós-graduação",33,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-33-2023-2013-apoio-a-participacao-de-servidor-em-evento-tecnico-cientifico-para-apresentacao-de-trabalho/edital-de-apoio-servidores-2023.pdf/view
Edital nº 32/2023 – Apoio à participação discente em evento técnico-científico para apresentação de trabalho,"Pesquisa, Inovação e Pós-graduação",32,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-32-2023-2013-apoio-a-participacao-discente-em-evento-tecnico-cientifico-para-apresentacao-de-trabalho/edital-de-apoio-discente-participacao-evento-2023.pdf/view
"Seleção de bolsistas de ensino referente ao Edital 12/2023 -  ""Projetos de Ensino com foco nas ações inclusivas 2023  Inclusão em destaque: buscando o protagonismo de estudantes com necessidades específicas através das Artes, linguagens e afins.""",Ensino,12,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/selecao-de-bolsistas-de-ensino-referente-ao-edital-12-2023-projetos-de-ensino-com-foco-nas-acoes-inclusivas-2023-inclusao-em-destaque-buscando-o-protagonismo-de-estudantes-com-necessidades-especificas-atraves-das-artes-linguagens-e-afins/edital-_projetos_de_ensino_acoes_inclusivas_12_23-1.pdf/view
Edital Nº 31/2023: Edital para escolha do (a) coordenador (a) e vice-coordenador (a) do Curso Técnico em hospedagem Integrado ao Ensino Médio do IF Sudeste MG - Campus Barbacena,Eleição,31,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-no-31-2023-edital-para-escolha-do-a-coordenador-a-e-vice-coordenador-a-do-curso-tecnico-em-hospedagem-integrado-ao-ensino-medio-do-if-sudeste-mg-campus-barbacena/edital-eleicao-coordenador-hospedagem-docx.pdf/view
Edital nº 30/2023 – Apoio aos Grupos de Trabalho no âmbito do projeto articulador SEROEPE (modalidades bolsa Coordenador e bolsa estudante),"Pesquisa, Inovação e Pós-graduação",30,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-30-2023-2013-apoio-aos-grupos-de-trabalho-no-ambito-do-projeto-articulador-seroepe-modalidades-bolsa-coordenador-e-bolsa-estudante/edital-apoio-aos-grupos-seroepe_2023.pdf/view
Edital Nº 29/2023: Edital de Apoio à produção de material em formato digital para atividades de Ensino,"Pesquisa, Inovação e Pós-graduação",29,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-29-2023-edital-de-apoio-a-producao-de-material-em-formato-digital-para-atividades-de-ensino/edital-material-didatico_2023.pdf/view
Seleção de bolsistas de projeto de ensino com foco nas ações inclusivas - Cuidar para ensinar: garantia de cuidados básicos para alunos recebidos em vagas destinadas às ações afirmativas -  EDITAL 29/2022,Ensino,29,2.022,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/selecao-de-bolsistas-de-projeto-de-ensino-com-foco-nas-acoes-inclusivas-cuidar-para-ensinar-garantia-de-cuidados-basicos-para-alunos-recebidos-em-vagas-destinadas-as-acoes-afirmativas-edital-29-2022/divulgacao-selecao-de-bolsista_projeto-de-acoes-inclusivas.pdf/view
Edital nº 26 - Chamada Pública de seleção de desafios para o evento “Café com Empresas”,"Pesquisa, Inovação e Pós-graduação",26,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/pesquisa-e-inovacao/edital-no-26-chamada-publica-de-selecao-de-desafios-para-o-evento-201ccafe-com-empresas201d/edital-chamada-empresas_2023_final.pdf/view
Edital nº 24/2023: Edital de Seleção para Preenchimento de Vagas Remanescentes nos Cursos de Graduação 2º SEMESTRE DE 2023,Ensino,24,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-24-2023-edital-de-selecao-para-preenchimento-de-vagas-remanescentes-nos-cursos-de-graduacao-2o-semestre-de-2023/edital-24-vagas-remanescentes-2-2023.pdf/view
EDITAL Nº 25: Seleção de bolsistas de monitoria,Ensino,25,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/ensino/2023/edital-no-25-selecao-de-bolsistas-de-monitoria/edital-2023-bolsistas-de-monitoria.pdf/view
Edital 23/2023: Edital de Processo de escolha de coordenadores e vice-coordenadores do curso de graduação em Tecnologia em Gestão de Turismo,Eleição,23,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/eleicao/edital-23-2023-edital-de-processo-de-escolha-de-coordenadores-e-vice-coordenadores-do-curso-de-graduacao-em-tecnologia-em-gestao-de-turismo/edital-23-eleicao-para-coordenadores-tur.pdf/view
Oferta Pública Nº. 01 / 2023,Chamada Pública,1,2.023,Aberto(a),https://www.ifsudestemg.edu.br/editais/barbacena/chamada-publica/oferta-publica-no-01-2023/2-edital-final-da-oferta-publica-01-2023-1.pdf/view
